milestone,case,established,evidence,artifact
C37,T5_selection_audit_inversion_confirmed,1,selection_audit_inversion_exact_rate=0.4473684210526316,oaci/reports/C37_EXACT_SELECTOR_TRACE_RECOVERY.json
C37,T6_source_pareto_conflict_survives_exact_trace,1,source_pareto_conflict_fraction=1.0,oaci/reports/C37_EXACT_SELECTOR_TRACE_RECOVERY.json
C37,T7_selector_trace_irrecoverable,0,p0_pass=True; all_recovered=True,oaci/reports/C37_EXACT_SELECTOR_TRACE_RECOVERY.json
C37,T8_actual_selector_misdirection_supported,1,exact UCL must clearly favor selected despite robust target utility,oaci/reports/C37_EXACT_SELECTOR_TRACE_RECOVERY.json
C37,T9_selector_not_misdirected_trace_incomplete_elsewhere,0,exact UCL does not support selected-favoring misdirection,oaci/reports/C37_EXACT_SELECTOR_TRACE_RECOVERY.json
C38,L1_point_leakage_drives_ucl_preference,1,point_dominant_fraction=0.9736842105263158,oaci/reports/C38_LEAKAGE_UCL_OBJECTIVE_GEOMETRY.json
C38,L2_uncertainty_width_drives_ucl_preference,0,uncertainty_driven_count=0,oaci/reports/C38_LEAKAGE_UCL_OBJECTIVE_GEOMETRY.json
C38,L3_cell_concentrated_leakage_advantage,0,atom-level class/domain/support contribution table unavailable,oaci/reports/C38_LEAKAGE_UCL_OBJECTIVE_GEOMETRY.json
C38,L4_broad_leakage_advantage,0,broad cell-level claim blocked by unavailable leakage atoms,oaci/reports/C38_LEAKAGE_UCL_OBJECTIVE_GEOMETRY.json
C38,L5_selection_audit_leakage_inversion,1,selection_ucl_to_audit_inversion_rate=0.4473684210526316,oaci/reports/C38_LEAKAGE_UCL_OBJECTIVE_GEOMETRY.json
C38,L6_source_rational_target_wrong,1,source_rational_target_wrong_fraction=1,oaci/reports/C38_LEAKAGE_UCL_OBJECTIVE_GEOMETRY.json
C38,L7_leakage_target_gauge_conflict,1,leakage_target_gauge_conflict_fraction=0.9210526315789473,oaci/reports/C38_LEAKAGE_UCL_OBJECTIVE_GEOMETRY.json
C38,L8_leakage_endpoint_decoupled,1,UCL prefers selected for all pairs while source endpoint majority is split selected/better/flat=54/57/3,oaci/reports/C38_LEAKAGE_UCL_OBJECTIVE_GEOMETRY.json
C38,L9_support_or_estimability_artifact,0,regime_invariant_pair_keys=38,oaci/reports/C38_LEAKAGE_UCL_OBJECTIVE_GEOMETRY.json
C38,L10_trace_atom_insufficient,1,exact UCL recovered but atom-level decomposition not persisted,oaci/reports/C38_LEAKAGE_UCL_OBJECTIVE_GEOMETRY.json
C39,A1_exact_atom_replay_supported,0,"selection_identity=48/76, audit_additive=76/76",oaci/reports/C39_LEAKAGE_ATOM_RECOVERY_AUDIT.json
C39,A2_point_advantage_cell_concentrated,0,concentrated_pair_fraction=0.0,oaci/reports/C39_LEAKAGE_ATOM_RECOVERY_AUDIT.json
C39,A3_broad_point_leakage_advantage,0,broad_pair_fraction=0.9473684210526315,oaci/reports/C39_LEAKAGE_ATOM_RECOVERY_AUDIT.json
C39,A4_class_specific_leakage_conflict,0,max_class_positive_share=0.27965167065812924,oaci/reports/C39_LEAKAGE_ATOM_RECOVERY_AUDIT.json
C39,A5_domain_or_group_specific_leakage_conflict,0,max_domain_positive_share=0.2045194585034194,oaci/reports/C39_LEAKAGE_ATOM_RECOVERY_AUDIT.json
C39,A6_support_edge_or_low_mass_driven,0,support_artifact_pair_fraction=0.0,oaci/reports/C39_LEAKAGE_ATOM_RECOVERY_AUDIT.json
C39,A7_selection_audit_atom_instability,0,"mean_atom_sign_preservation_rate=0.5187969924812029, selection_to_audit_inversion_rate=0.4473684210526316",oaci/reports/C39_LEAKAGE_ATOM_RECOVERY_AUDIT.json
C39,A8_atom_target_gauge_conflict,0,atom_target_gauge_conflict_fraction=0.9210526315789473,oaci/reports/C39_LEAKAGE_ATOM_RECOVERY_AUDIT.json
C39,A9_atom_decomposition_irrecoverable,1,exact point atom identity failed or audit additive identity failed,oaci/reports/C39_LEAKAGE_ATOM_RECOVERY_AUDIT.json
C39,A10_ucl_quantile_atom_limit,1,UCL is a bootstrap quantile; C39 does not sum per-atom UCLs,oaci/reports/C39_LEAKAGE_ATOM_RECOVERY_AUDIT.json
C40,D1_exact_atom_identity_recovered,0,selection_identity_pass=False,oaci/reports/C40_LEAKAGE_POINT_DRIFT_FORENSICS.json
C40,D2_numeric_only_drift_bounded,1,"max_abs_drift=0.00021521578246364026, bounded_at_1e_3=True, observed_semantic_mismatch_count=0",oaci/reports/C40_LEAKAGE_POINT_DRIFT_FORENSICS.json
C40,D3_selection_split_semantic_mismatch,0,observed_semantic_mismatch_count=0,oaci/reports/C40_LEAKAGE_POINT_DRIFT_FORENSICS.json
C40,D4_aggregate_vs_atom_path_divergence,1,"first divergent stage counts={'persisted_aggregate_point_identity': 28, 'none': 48}",oaci/reports/C40_LEAKAGE_POINT_DRIFT_FORENSICS.json
C40,D5_diagnostic_atom_pattern_stable_but_blocked,1,point_sign_stable_fraction=1.0; diagnostic atom patterns remain blocked by identity failure,oaci/reports/C40_LEAKAGE_POINT_DRIFT_FORENSICS.json
C40,D6_atom_trace_irrecoverable_final,1,"per-fold probe/cell outputs and persisted atom traces are absent, so exact identity is not restored",oaci/reports/C40_LEAKAGE_POINT_DRIFT_FORENSICS.json
C40,D7_future_instrumentation_required,1,missing_future_fields=5,oaci/reports/C40_LEAKAGE_POINT_DRIFT_FORENSICS.json
C40,D8_c39_atom_claims_reopenable,0,requires D1 exact identity recovery without semantic changes,oaci/reports/C40_LEAKAGE_POINT_DRIFT_FORENSICS.json
C41,O1_global_leakage_target_alignment,0,selection_leakage_mean_auc=0.49373160501299335,oaci/reports/C41_LEAKAGE_TARGET_OBJECTIVE_FIELD.json
C41,O2_global_leakage_target_decoupling,1,selection_leakage_mean_auc=0.49373160501299335,oaci/reports/C41_LEAKAGE_TARGET_OBJECTIVE_FIELD.json
C41,O3_global_leakage_target_anti_alignment,0,selection_leakage_mean_auc=0.49373160501299335,oaci/reports/C41_LEAKAGE_TARGET_OBJECTIVE_FIELD.json
C41,O4_low_leakage_not_good_enriched,0,max_enrichment joint/pareto/robust=0.9182126539374492/1.2691476733143399/2.412280701754386,oaci/reports/C41_LEAKAGE_TARGET_OBJECTIVE_FIELD.json
C41,O5_source_audit_leakage_no_better,1,audit_mean_auc_minus_selection=0.00444529306297986,oaci/reports/C41_LEAKAGE_TARGET_OBJECTIVE_FIELD.json
C41,O6_source_rank_better_than_leakage,1,"C30 source rank AUC=0.658600107451297, selection leakage AUC=0.49373160501299335",oaci/reports/C41_LEAKAGE_TARGET_OBJECTIVE_FIELD.json
C41,O7_target_unlabeled_pooled_field_better,0,"target-unlabeled field is local-pair/non-source-only, not candidate-level global field",oaci/reports/C41_LEAKAGE_TARGET_OBJECTIVE_FIELD.json
C41,O8_local_misdirection_reflects_global_field_conflict,0,local representative fraction=0.7894736842105263,oaci/reports/C41_LEAKAGE_TARGET_OBJECTIVE_FIELD.json
C41,O9_local_misdirection_tail_only,0,tail-only fraction=0.0,oaci/reports/C41_LEAKAGE_TARGET_OBJECTIVE_FIELD.json
C41,O10_inconclusive_due_to_field_availability,0,candidate_registry_complete=True,oaci/reports/C41_LEAKAGE_TARGET_OBJECTIVE_FIELD.json
C42,R1_source_rank_pairwise_signal_real,1,"source_rank_auc=0.5904967774230292, selection_leakage_auc=0.49373160501299335",oaci/reports/C42_SOURCE_RANK_ACTIONABILITY_AUDIT.json
C42,R2_rank_to_topk_gap,1,"source_rank_top1_joint=0.5061728395061729, enrichment=1.1542183729112576, reliable_gate=0.7",oaci/reports/C42_SOURCE_RANK_ACTIONABILITY_AUDIT.json
C42,R3_source_rank_top1_improves_over_oaci_but_not_reliable,1,"top1_joint_gain_vs_oaci=0.06172839506172845, top1_joint_gain_vs_random=0.07644946147013176",oaci/reports/C42_SOURCE_RANK_ACTIONABILITY_AUDIT.json
C42,R4_source_rank_top1_reliable_diagnostic,0,"top1_joint=0.5061728395061729, enrichment=1.1542183729112576",oaci/reports/C42_SOURCE_RANK_ACTIONABILITY_AUDIT.json
C42,R5_gauge_breaks_source_rank_actionability,0,max_centered_gain=0.0,oaci/reports/C42_SOURCE_RANK_ACTIONABILITY_AUDIT.json
C42,R6_dense_base_rate_limits_claim,1,"random_base=0.4297233780360411, source_gain_vs_random=0.07644946147013176",oaci/reports/C42_SOURCE_RANK_ACTIONABILITY_AUDIT.json
C42,R7_top_region_plateau_or_instability,1,"mean_plateau_size=2.191358024691358, low_margin_fraction=0.5370370370370371",oaci/reports/C42_SOURCE_RANK_ACTIONABILITY_AUDIT.json
C42,R8_leakage_blocks_rank_better_candidates,1,"leakage_blocks_fraction=0.5370370370370371, rank_better_fraction=0.5370370370370371",oaci/reports/C42_SOURCE_RANK_ACTIONABILITY_AUDIT.json
C42,R9_source_rank_escape_hatch_closed,1,source-rank top1/top-k remains below reliability gates; diagnostic only,oaci/reports/C42_SOURCE_RANK_ACTIONABILITY_AUDIT.json
C42,R10_source_rank_escape_hatch_reopened_diagnostic_only,0,only active if R4 passes; it does not under current gates,oaci/reports/C42_SOURCE_RANK_ACTIONABILITY_AUDIT.json
C43,F1_source_objective_frontier_contains_target_good,1,front_good max joint/pareto/robust=0.9875535762598431/0.9963991769547327/0.9649122807017544,oaci/reports/C43_SOURCE_OBJECTIVE_SCALARIZATION_FRONTIER.json
C43,F2_target_good_source_pareto_rejected,0,max_rejected_good_fraction=0.03508771929824561,oaci/reports/C43_SOURCE_OBJECTIVE_SCALARIZATION_FRONTIER.json
C43,F3_leakage_extreme_blocks_rank_frontier,1,leakage_blocks_rank_better_fraction=0.5370370370370371,oaci/reports/C43_SOURCE_OBJECTIVE_SCALARIZATION_FRONTIER.json
C43,F4_no_source_scalarization_reliable_topk,1,"best_top1=0.5740740740740741, reliable_positive_claim_allowed=False",oaci/reports/C43_SOURCE_OBJECTIVE_SCALARIZATION_FRONTIER.json
C43,F5_hindsight_scalarization_ceiling_weak,1,"best=leakage_rank_risk__leakage_0.5__rank_0.1__risk_0.4, top1=0.5740740740740741, gain_vs_random=0.14435069603803297",oaci/reports/C43_SOURCE_OBJECTIVE_SCALARIZATION_FRONTIER.json
C43,F6_source_scalarization_overfit_or_target_heterogeneous,0,"best_sign_consistency=1.0, best_bh_q=9.703820315555286e-05",oaci/reports/C43_SOURCE_OBJECTIVE_SCALARIZATION_FRONTIER.json
C43,F7_source_rank_leakage_tradeoff_real,1,mean_leakage_rank_spearman=-0.29180753712959345,oaci/reports/C43_SOURCE_OBJECTIVE_SCALARIZATION_FRONTIER.json
C43,F8_source_only_scalarization_escape_hatch_closed,1,no fixed source-only scalarization passes reliability and multiplicity gates,oaci/reports/C43_SOURCE_OBJECTIVE_SCALARIZATION_FRONTIER.json
C43,F9_scalarization_escape_hatch_reopened_diagnostic_only,0,"best=leakage_rank_risk__leakage_0.5__rank_0.1__risk_0.4, metric={'scalarization_id': 'leakage_rank_risk__leakage_0.5__rank_0.1__risk_0.4', 'grid_family': 'leakage_source_rank_source_risk', 'selection_rule': 'top1', 'label': 'primary_joint_good', 'n_trajectories': 162, 'mean_pairwise_auc_vs_target_utility': 0.5558712220168693, 'mean_hit_rate': 0.5740740740740741, 'mean_random_baseline': 0.4297233780360411, 'mean_enrichment_ratio': 1.989645037749687, 'mean_regret_vs_target_oracle': 0.6476149164364777, 'mean_target_utility_delta_vs_oaci': 0.17635870264106385, 'hindsight_diagnostic_only': 1}",oaci/reports/C43_SOURCE_OBJECTIVE_SCALARIZATION_FRONTIER.json
C43,F10_inconclusive_due_to_field_availability,0,candidate registry and scalarization grid complete,oaci/reports/C43_SOURCE_OBJECTIVE_SCALARIZATION_FRONTIER.json
C44,PF1_source_pareto_front_degenerate,1,"observed_front=0.9724614975980579, gaussian_null=0.9810450967215901, objective_shuffled_null=0.9811108958203643",oaci/reports/C44_SOURCE_PARETO_DEGENERACY_AUDIT.json
C44,PF2_front_membership_non_discriminative,1,"front_both_good_bad=0.8888888888888888, p_good_front=0.43105701988584916, baseline=0.4297233780360411",oaci/reports/C44_SOURCE_PARETO_DEGENERACY_AUDIT.json
C44,PF3_objective_conflict_inflates_front,1,"negative_pair_fraction=0.4444444444444444, leakage_rank_mean=-0.07109398916881127",oaci/reports/C44_SOURCE_PARETO_DEGENERACY_AUDIT.json
C44,PF4_objective_redundancy_not_the_issue,1,"effective_rank=5.695876335809214, pca_var1=0.41356684026343554",oaci/reports/C44_SOURCE_PARETO_DEGENERACY_AUDIT.json
C44,PF5_family_reduced_frontier_narrows_but_loses_target_coverage,1,"min_reduced_front=0.04375006002171776, reduced_loses_coverage=True",oaci/reports/C44_SOURCE_PARETO_DEGENERACY_AUDIT.json
C44,PF6_family_reduced_frontier_has_diagnostic_signal,1,"best_subset=rank_only, enrichment=1.1542183729112576, depth_auc=0.5904967774230292",oaci/reports/C44_SOURCE_PARETO_DEGENERACY_AUDIT.json
C44,PF7_dominance_depth_not_target_informative,1,depth_auc=0.49906596898123196,oaci/reports/C44_SOURCE_PARETO_DEGENERACY_AUDIT.json
C44,PF8_dominance_depth_weakly_informative_but_non_actionable,0,depth_auc=0.49906596898123196,oaci/reports/C44_SOURCE_PARETO_DEGENERACY_AUDIT.json
C44,PF9_source_objective_geometry_non_identifiable,1,frontier broad + non-discriminative; no reduced-family reliable geometry,oaci/reports/C44_SOURCE_PARETO_DEGENERACY_AUDIT.json
C44,PF10_inconclusive_due_to_objective_availability,0,objective availability complete,oaci/reports/C44_SOURCE_PARETO_DEGENERACY_AUDIT.json
C45,N1_source_equivalent_target_divergent_witnesses,1,"within_traj_q10_divergent_rate=0.13287671232876713, cross_target_q10_divergent_rate=0.9369369369369369, same_regime_q10_divergent_rate=0.29901423877327493, pair_count=632",oaci/reports/C45_SOURCE_EQUIVALENCE_NONIDENTIFIABILITY.json
C45,N2_within_trajectory_nonidentifiability,0,trajectory_fraction=0.2222222222222222,oaci/reports/C45_SOURCE_EQUIVALENCE_NONIDENTIFIABILITY.json
C45,N3_source_radius_target_variance_persists,0,"q05_variance_over_baseline=0.0002558406501751236, q05_joint_entropy_over_baseline=0.005105781801103029",oaci/reports/C45_SOURCE_EQUIVALENCE_NONIDENTIFIABILITY.json
C45,N4_source_metric_neighborhood_not_discriminative,0,"q10_joint_entropy_over_baseline=0.03562075943766549, nearest_joint_disagreement=0.19137749737118823, baseline=0.3107255520504732",oaci/reports/C45_SOURCE_EQUIVALENCE_NONIDENTIFIABILITY.json
C45,N5_target_gauge_residual_drives_divergence,0,"gauge_witness_fraction=0.02689873417721519, gauge_utility_corr=0.7255185224457221",oaci/reports/C45_SOURCE_EQUIVALENCE_NONIDENTIFIABILITY.json
C45,N6_family_reduced_space_not_sufficient,1,min_reduced_q10_divergent=0.26990692864529475,oaci/reports/C45_SOURCE_EQUIVALENCE_NONIDENTIFIABILITY.json
C45,N7_rank_space_reduces_but_does_not_close_ambiguity,1,"rank_reduction_vs_baseline=0.07308096740273398, rank_q10_divergent=0.5945807770961146",oaci/reports/C45_SOURCE_EQUIVALENCE_NONIDENTIFIABILITY.json
C45,N8_empirical_selector_lower_bound_supported,0,"q05_unavoidable=0.0010880359855123263, q10_ambiguous_fraction=0.02996845425867508",oaci/reports/C45_SOURCE_EQUIVALENCE_NONIDENTIFIABILITY.json
C45,N9_inconclusive_due_to_objective_availability,0,primary_source_objectives_complete=True,oaci/reports/C45_SOURCE_EQUIVALENCE_NONIDENTIFIABILITY.json
C46,CB1_source_space_informative_after_target_or_trajectory_conditioning,1,"within_target_q10=0.004842615012106538, within_traj_q10=0.13287671232876713, cross_target_q10=0.9369369369369369",oaci/reports/C46_CONDITIONING_BOUNDARY_AUDIT.json
C46,CB2_cross_target_grouping_breaks_source_equivalence,1,"cross_target_q10=0.9369369369369369, within_target_q10=0.004842615012106538, target_conditional_variance_ratio=0.7529306744087769",oaci/reports/C46_CONDITIONING_BOUNDARY_AUDIT.json
C46,CB3_within_trajectory_neighborhoods_relatively_homogeneous,1,"within_traj_q10=0.13287671232876713, trajectory_conditional_variance_ratio=0.3850502874437927",oaci/reports/C46_CONDITIONING_BOUNDARY_AUDIT.json
C46,CB4_source_only_global_comparability_nonidentifiable,1,"cross_target_q10=0.9369369369369369, cross_regime_q10=0.004033342296316214, cross_target_distance_gap_spearman=0.016024950337713784",oaci/reports/C46_CONDITIONING_BOUNDARY_AUDIT.json
C46,CB5_target_identity_component_explains_divergence,0,"target_eta2=0.24706932559122305, residual_within_trajectory_fraction=0.3850502874437927",oaci/reports/C46_CONDITIONING_BOUNDARY_AUDIT.json
C46,CB6_regime_conditioning_partial_not_sufficient,1,"within_regime_q10=0.29901423877327493, cross_target_q10=0.9369369369369369",oaci/reports/C46_CONDITIONING_BOUNDARY_AUDIT.json
C46,CB7_inconclusive_due_to_artifact_availability,0,required inherited artifacts available,oaci/reports/C46_CONDITIONING_BOUNDARY_AUDIT.json
C47,GCA1_conditioning_restores_source_neighborhood_homogeneity,1,"within_target_q10=0.004842615012106538, within_trajectory_q10=0.13287671232876713, cross_target_q10=0.9369369369369369",oaci/reports/C47_CONDITIONED_SOURCE_SPACE_ACTIONABILITY.json
C47,GCA2_conditioning_improves_but_not_reliable_actionability,1,"best_conditioned_gain=0.1303723309701325, global_gain=-0.4242902208201893, conditioned_top1_hit=0.5555555555555556, conditioned_enrichment=1.3066262341305979",oaci/reports/C47_CONDITIONED_SOURCE_SPACE_ACTIONABILITY.json
C47,GCA3_trajectory_conditioning_required,0,"within_trajectory_gain=0.07644946147013171, within_target_gain=0.02066317373148807, within_target_seed_gain=0.1303723309701325, within_target_level_gain=0.01895296607851954, trajectory_advantage_vs_target=0.055786287738643636, trajectory_unique_advantage=-0.0539228695000008",oaci/reports/C47_CONDITIONED_SOURCE_SPACE_ACTIONABILITY.json
C47,GCA4_target_conditioning_sufficient_for_diagnostic_localization,0,"within_target_top1_hit=0.4444444444444444, within_target_enrichment=1.0487590536899496, within_target_regret_reduction=0.1572080943717663",oaci/reports/C47_CONDITIONED_SOURCE_SPACE_ACTIONABILITY.json
C47,GCA5_grouped_actionability_still_base_rate_limited,1,"conditioned_top1_hit=0.5555555555555556, conditioned_enrichment=1.3066262341305979, any_conditioned_reliable=False",oaci/reports/C47_CONDITIONED_SOURCE_SPACE_ACTIONABILITY.json
C47,GCA6_global_source_only_comparability_fails,1,"global_top1_hit=0.0, global_gain=-0.4242902208201893, global_sign_auc=0.5197068289601652",oaci/reports/C47_CONDITIONED_SOURCE_SPACE_ACTIONABILITY.json
C47,GCA7_group_conditioning_is_separate_problem_class,1,"target_grouping_gain=0.02066317373148807, trajectory_grouping_gain=0.07644946147013171, max_smoothing_gain_delta=0.11111111111111112, target_sign_auc=0.5966503556474801, trajectory_sign_auc=0.601322550171655",oaci/reports/C47_CONDITIONED_SOURCE_SPACE_ACTIONABILITY.json
C47,GCA8_inconclusive_due_to_artifact_availability,0,required committed artifacts available,oaci/reports/C47_CONDITIONED_SOURCE_SPACE_ACTIONABILITY.json
C48,LC1_conditioned_source_space_ceiling_high,1,"best_conditioned_scope=within_target, hit=1.0, enrichment=2.3597078708023864, permutation_gap=0.5743454359971853",oaci/reports/C48_CONDITIONED_LOCAL_BAYES_CEILING.json
C48,LC2_conditioned_source_space_ceiling_low,0,"best_conditioned_scope=within_target, hit=1.0, enrichment=2.3597078708023864, permutation_gap=0.5743454359971853, gates=(0.7,1.5)",oaci/reports/C48_CONDITIONED_LOCAL_BAYES_CEILING.json
C48,LC3_existing_scores_underuse_source_space,1,"best_conditioned_gap_vs_c47=0.5555555555555556, c47_hit=0.5555555555555556, local_hit=1.0",oaci/reports/C48_CONDITIONED_LOCAL_BAYES_CEILING.json
C48,LC4_ceiling_target_local_not_transferable,0,"best_conditioned_scope=within_target, best_mixed_scope=global, hit_gap_mixed=0.0, gain_gap_mixed=0.0005089501072329528, mixed_reliable=True",oaci/reports/C48_CONDITIONED_LOCAL_BAYES_CEILING.json
C48,LC5_base_rate_explains_apparent_ceiling,0,"conditioned_hit=1.0, conditioned_base=0.42378127071295635, conditioned_gain=0.5762187292870437, conditioned_enrichment=2.3597078708023864, permutation_gap=0.5743454359971853",oaci/reports/C48_CONDITIONED_LOCAL_BAYES_CEILING.json
C48,LC6_conditioned_actionability_escape_hatch_closed,0,"local_hit=1.0, local_enrichment=2.3597078708023864, c47_hit=0.5555555555555556, c47_enrichment=1.3066262341305979",oaci/reports/C48_CONDITIONED_LOCAL_BAYES_CEILING.json
C48,LC7_inconclusive_due_to_artifact_availability,0,required C47/C45 artifacts available,oaci/reports/C48_CONDITIONED_LOCAL_BAYES_CEILING.json
C49,SC1_sparse_high_precision_ceiling,0,"best_hit=1.0, best_coverage=0.022697831804226423, coverage50_reliable=True",oaci/reports/C49_SPARSE_LOCAL_BAYES_COVERAGE_AUDIT.json
C49,SC2_broad_conditioned_ceiling,1,"coverage50_best_scope=within_target, coverage50_hit=1.0, coverage50_enrichment=2.3597078708023864, coverage50=1.0, coverage75_reliable=True",oaci/reports/C49_SPARSE_LOCAL_BAYES_COVERAGE_AUDIT.json
C49,SC3_existing_scores_underuse_available_islands,1,"score=C19_robust_core, underuse_gap=1.0, score_top_hit=0.0, local_hit=1.0",oaci/reports/C49_SPARSE_LOCAL_BAYES_COVERAGE_AUDIT.json
C49,SC4_existing_scores_match_local_ceiling,0,"max_underuse_gap=1.0, match_gate=0.05",oaci/reports/C49_SPARSE_LOCAL_BAYES_COVERAGE_AUDIT.json
C49,SC5_ceiling_unstable_across_targets,1,"target_min_hit=1.0, target_min_coverage=0.0, trajectory_min_hit=0.0, trajectory_min_coverage=0.0",oaci/reports/C49_SPARSE_LOCAL_BAYES_COVERAGE_AUDIT.json
C49,SC6_ceiling_stable_but_non_actionable,0,"target_stable=False, trajectory_stable=False, underuse_gap=1.0, diagnostic_oracle_only=True",oaci/reports/C49_SPARSE_LOCAL_BAYES_COVERAGE_AUDIT.json
C49,SC7_base_rate_or_singleton_artifact,0,"reliable_min_neighbor_ge_2_count=270, best_min_neighbor=5",oaci/reports/C49_SPARSE_LOCAL_BAYES_COVERAGE_AUDIT.json
C49,SC8_conditioned_source_space_future_hypothesis,1,"any_reliable=True, underuse_active=True, singleton_artifact=False, c48_cases=LC1_conditioned_source_space_ceiling_high,LC3_existing_scores_underuse_source_space",oaci/reports/C49_SPARSE_LOCAL_BAYES_COVERAGE_AUDIT.json
C49,SC9_conditioned_actionability_escape_hatch_closed,0,"best_hit=1.0, best_enrichment=2.656126482213439",oaci/reports/C49_SPARSE_LOCAL_BAYES_COVERAGE_AUDIT.json
C49,SC10_inconclusive_due_to_artifact_availability,0,required C48/C47/C45 artifacts available,oaci/reports/C49_SPARSE_LOCAL_BAYES_COVERAGE_AUDIT.json
C50,C50-C_mixed_fragmentation_plus_underuse,,compact decision present but no case_rows schema,oaci/reports/C50_CONDITIONED_ISLAND_MORPHOLOGY.json
C51,C51-E_target_trajectory_gauge_residual,,compact decision present but no case_rows schema,oaci/reports/C51_TRAJECTORY_FRAGMENTATION_UNDERUSE.json
C52,C52-G_diagnostic_label_content_required,,compact decision present but no case_rows schema,oaci/reports/C52_MINIMAL_GAUGE_KEY_SUFFICIENCY.json
C53,C53-B_scalar_endpoint_label_sufficiency,,compact decision present but no case_rows schema,oaci/reports/C53_DIAGNOSTIC_LABEL_CONTENT_MINIMALITY.json
C54,C54-A_direct_joint_endpoint_tautology,,compact decision present but no case_rows schema,oaci/reports/C54_ENDPOINT_SCALAR_TAUTOLOGY_BIT_BUDGET.json
C55,C55-G_transfer_requires_unavailable_test_endpoint_scalar,,compact decision present but no case_rows schema,oaci/reports/C55_CROSS_CELL_ENDPOINT_TEMPLATE_BOUNDARY.json
