method_id,method,information_class,status,canonical_reference,implementation_source,fidelity_status,declared_adaptation_or_exclusion,selection_views,evaluation_view_for_selection,oracle_reachable,outcome_tuned
U7,Average Thresholded Confidence MC,ISU,FEASIBLE_PRIMARY,https://openreview.net/forum?id=wcrff7Gh0RR,faithful_numpy_reimplementation,LOCKED_WITH_DECLARED_ADAPTATION,ATC-MC fixed; balanced domain weighting matches the registered endpoint,strict_source_trial_view|source_audit_label_view|target_unlabeled_trial_view,0,0,0
U8,Importance-weighted cross-validation,ISU,EXCLUDED_INPUT_UNAVAILABLE,https://www.jmlr.org/papers/v8/sugiyama07a.html,faithful_numpy_reimplementation,EXCLUDED_BEFORE_HASH,no frozen density-ratio estimator exists; fitting one is a new model,NONE,0,0,0
U9,Deep Embedded Validation,ISU,EXCLUDED_INPUT_UNAVAILABLE,https://proceedings.mlr.press/v97/you19a.html,faithful_numpy_reimplementation,EXCLUDED_BEFORE_HASH,required discriminator is absent and fitting it is forbidden,NONE,0,0,0
U10,Importance-weighted group accuracy estimation,ISU,EXCLUDED_INPUT_UNAVAILABLE,https://arxiv.org/abs/2310.10611,faithful_numpy_reimplementation,EXCLUDED_BEFORE_HASH,groups and fitted weights are absent; creating them would invent a new estimator,NONE,0,0,0
U11,MaNo p4,IU,FEASIBLE_PRIMARY,https://arxiv.org/abs/2405.18979,official_code_commit_b9c026261319e4967e090ac9a8c37615b8267273,LOCKED_WITH_DECLARED_ADAPTATION,order-invariant whole-set delta replaces official first-five-loader-batch estimate; p=4 and scaling branch otherwise exact to official commit b9c0262,target_unlabeled_trial_view,0,0,0
U12,Confidence Optimal Transport,ISU,FEASIBLE_SECONDARY,https://papers.neurips.cc/paper_files/paper/2023/hash/38fd51cf36f28566230a93a5fbeaabbf-Abstract-Conference.html,faithful_numpy_reimplementation,LOCKED_WITH_DECLARED_ADAPTATION,noninteger prior counts use deterministic largest-remainder apportionment tied by class ID,source_audit_label_view|target_unlabeled_trial_view,0,0,0
U13,Confidence Optimal Transport with Thresholding,ISU,FEASIBLE_PRIMARY,https://papers.neurips.cc/paper_files/paper/2023/hash/38fd51cf36f28566230a93a5fbeaabbf-Abstract-Conference.html,faithful_numpy_reimplementation,LOCKED_WITH_DECLARED_ADAPTATION,source empirical prior primary; uniform prior registered sensitivity only,strict_source_trial_view|source_audit_label_view|target_unlabeled_trial_view,0,0,0
U14,Soft Neighborhood Density,IU,FEASIBLE_PRIMARY,https://openaccess.thecvf.com/content/ICCV2021/html/Saito_Tune_It_the_Right_Way_Unsupervised_Validation_of_Domain_Adaptation_ICCV_2021_paper.html,faithful_numpy_reimplementation,LOCKED_WITH_DECLARED_ADAPTATION,paper softmax-output feature layer fixed; diagonal excluded exactly,target_unlabeled_trial_view,0,0,0
U15,Agreement-on-the-Line,ISU,FEASIBLE_PRIMARY,https://papers.nips.cc/paper_files/paper/2022/hash/7a8d388b7a17df480856dff1cc079b08-Abstract-Conference.html,faithful_numpy_reimplementation,LOCKED_WITH_DECLARED_ADAPTATION,agreement proportions use fixed Jeffreys correction (count+0.5)/(n+1); pairs are fit observations but never scientific N,strict_source_trial_view|source_audit_label_view|target_unlabeled_trial_view,0,0,0
U16,Accuracy-on-the-Line diagnostic,DIAGNOSTIC,FEASIBLE_DIAGNOSTIC_ONLY,https://proceedings.mlr.press/v139/miller21b.html,faithful_numpy_reimplementation,LOCKED_WITH_DECLARED_ADAPTATION,evaluation labels make this measurement-only and exclude it from selection taxonomy,source_audit_label_view|target_evaluation_view,1,0,0
L1,Frozen Q0 B=1,ILc,FEASIBLE_PRIMARY_FIXED_COMPARATOR,internal_control,internal_frozen_contract,LOCKED_WITH_DECLARED_ADAPTATION,post-C80 outcome-informed primary labeled comparator,target_construction_view,0,0,0
L2,Frozen Q0 B=2,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,internal_control,internal_frozen_contract,LOCKED_EXACT_OR_ELEMENTARY,none,target_construction_view,0,0,0
L3,Frozen Q0 B=4,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,internal_control,internal_frozen_contract,LOCKED_EXACT_OR_ELEMENTARY,none,target_construction_view,0,0,0
L4,Frozen Q0 B=8,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,internal_control,internal_frozen_contract,LOCKED_EXACT_OR_ELEMENTARY,none,target_construction_view,0,0,0
L5,Frozen Q0 B=16,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,internal_control,internal_frozen_contract,LOCKED_EXACT_OR_ELEMENTARY,none,target_construction_view,0,0,0
L6,Frozen Q0 B=32,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,internal_control,internal_frozen_contract,LOCKED_EXACT_OR_ELEMENTARY,none,target_construction_view,0,0,0
L7,Frozen Q0 FULL,ILc,FEASIBLE_PRIMARY_FIXED_COMPARATOR,internal_control,internal_frozen_contract,LOCKED_WITH_DECLARED_ADAPTATION,FULL remains cell-specific and is not relabeled 61,target_construction_view,0,0,0
